Accession No.,Known FunctionScore,Solubility Score,Stability Score,Localisation Score,Signal Peptide Score,Secretion Score,Transmembrane Score,Transmembrane Helices,Nature of Protein Score,Topology Score,Motif Score,PPI Score,PPI Score,Allegenicity Score,Antigenic Score ,Antigenic Score,Functional Characterisation,Functional Characterisation Score,Homology Score,Enzyme Score
>AFE11547.1 ,4,0,0,1,0,0,0,0,1,3,5,0.85,1,0,0,0.2808,Cellular process,1,0,0
>AFE11612.1,9,0,0,1,0,0,0,0,1,2,5,0.789,1,0,1,0.5919,Cellular process,1,0,0
>AFE11621.1,1,0,0,5,0,0,0,0,4,3,2,0.944,0,0,0,0.3414,Cellular process,1,2.00E-109,0
>AFE11628.1,2,1,0,1,0,0,0,0,4,2,3,0.914,0,0,1,0.5055,Metabolism Molecule,4,3.00E-158,0
>AFE11634.1 ,3,0,1,1,1,1,0,9,4,3,4,0.822,1,0,1,1.266,Information and storage,2,8.00E-150,0
>AFE11635.1 ,3,0,0,3,0,0,0,5,1,2,0,0.755,1,1,1,1.6431,Virulence factors,3,2.00E-37,0
>AFE11637.1 ,3,0,1,3,0,0,0,1,4,2,4,0.755,1,0,1,0.6402,Virulence factors,3,2.00E-12,0
>AFE11640.1 ,3,0,0,3,1,1,0,0,4,1,4,0.998,0,1,1,0.6542,Cellular process,1,1.00E-14,0
>AFE11642.1,2,1,1,3,0,0,0,0,1,2,3,0.999,0,0,0,0.3629,Cellular process,1,8.00E-12,0
>AFE11643.1 ,6,1,1,3,0,0,0,0,1,1,3,0.999,0,1,1,0.5065,Cellular process,1,5.00E-36,0
>AFE11672.1 ,2,0,0,3,0,0,0,0,1,2,4,0.941,0,0,1,0.8738,Metabolism Molecule,4,3.00E-61,0
>AFE11675.1 ,2,0,0,1,0,0,0,0,1,2,5,0.75,1,0,1,0.4572,Metabolism Molecule,4,2.00E-119,0
>AFE11681.1,3,0,0,3,0,0,0,0,4,2,4,0.759,1,0,1,0.6265,Cellular process,1,7.00E-78,0
>AFE11685.1 ,2,0,0,1,0,0,0,0,1,3,6,0.889,1,0,1,0.4554,Information and storage,2,2.00E-63,0
>AFE11687.1 ,3,1,0,3,0,0,0,1,1,3,,0.978,0,0,1,0.8537,Information and storage,2,0,0
>AFE11697.1 ,9,1,1,1,0,0,0,0,1,2,7,0.996,0,0,1,0.4826,Metabolism Molecule,4,0,0
>AFE11718.1 ,7,0,0,1,0,0,0,0,1,2,0,0.745,1,0,1,0.629,Cellular process,1,8.00E-85,0
>AFE11724.1 ,3,0,1,3,0,0,0,1,4,3,2,0.911,0,1,1,0.6365,Metabolism Molecule,4,1.00E-41,0
>AFE11725.1 ,3,1,0,1,0,0,0,0,1,3,4,0.911,0,0,1,0.4402,Virulence factors,3,0,0
>AFE11737.1 ,4,0,0,1,0,0,0,0,2,3,5,pks6,3,0,1,0.4139,Cellular process,1,7.00E-84,0
>AFE11762.1 ,4,0,1,5,1,1,0,1,4,3,5,0.993,0,0,1,0.5843,Metabolism Molecule,4,5.00E-153,1
>AFE11769.1 ,4,0,1,1,0,1,0,0,1,2,3,0.891,1,0,1,0.5304,Metabolism Molecule,4,2.00E-175,1
>AFE11773.1,3,0,1,6,1,1,0,5,4,1,4,0.882,1,0,1,0.7416,Virulence factors,3,0,1
>AFE11777.1 ,4,0,0,1,0,0,0,0,1,2,5,0.983,0,0,1,0.4087,Metabolism Molecule,4,0,1
>AFE11794.1 ,4,0,1,1,0,0,0,0,1,2,4,0.657,2,0,0,0.3817,Cellular process,1,5.00E-153,1
>AFE11798.1 ,2,0,1,1,0,0,0,0,1,2,6,0.776,1,0,1,0.4482,Cellular process,1,2.00E-175,1
>AFE11799.1 ,1,1,1,1,0,0,0,1,1,2,0,0.865,1,0,1,0.6744,Cellular process,1,0,0
>AFE11813.1 ,4,0,0,4,1,1,0,1,2,2,6,0.999,0,0,1,0.489,Metabolism Molecule,4,0,1
>AFE11826.1,4,0,1,1,0,0,0,0,1,2,4,0.9,0,0,1,0.4332,Cellular process,1,0,0
>AFE11836.1 ,4,0,0,5,0,0,0,3,2,2,2,0.861,1,0,1,0.7685,Virulence factors,3,2.00E-93,0
>AFE11840.1 ,4,0,0,1,0,0,0,0,1,2,3,0.99,0,1,0,0.3248,Information and storage,2,6.00E-79,1
>AFE11852.1 ,3,0,0,3,1,1,0,1,2,3,4,0.815,1,1,1,1.8267,Information and storage,2,1.00E-131,0
>AFE11867.1 ,4,1,0,1,0,0,0,0,1,2,3,0.965,0,0,1,0.4393,Cellular process,1,0,1
>AFE11905.1,10,0,0,1,0,0,0,1,1,2,2,0.992,0,1,0,0.378,Metabolism Molecule,4,0,1
>AFE11914.1 ,4,0,1,1,0,0,0,0,1,2,1,NA,3,0,1,0.4438,Metabolism Molecule,4,0,1
>AFE11932.1 ,8,0,0,3,0,0,0,0,1,2,0,0.957,0,0,0,0.3901,Cellular process,1,0,0
>AFE11949.1 ,11,0,0,1,0,0,0,0,1,2,2,0.999,0,1,1,0.6791,Cellular process,1,6.00E-79,1
>AFE11957.1,4,0,0,1,0,0,0,0,1,2,4,0.702,2,0,1,0.4904,Virulence factors,3,0,1
>AFE11958.1 ,4,0,1,1,0,0,0,0,1,2,4,0.702,2,0,1,0.4403,Metabolism Molecule,4,0,1
>AFE11960.1 ,4,1,1,1,0,0,0,0,1,2,3,0.923,0,0,1,0.4824,Cellular process,1,0,0
>AFE11977.1 ,1,1,0,1,0,0,0,1,1,2,2,0.885,1,0,1,0.4152,Cellular process,1,0,1
>AFE11981.1 ,4,1,1,1,0,0,0,0,1,2,0,0.999,0,0,1,0.6672,Virulence factors,3,4.00E-58,0
>AFE11983.1 ,4,0,0,3,0,0,0,0,1,2,0,0.999,0,0,1,0.4885,Virulence factors,3,1.00E-11,0
>AFE11997.1 ,2,0,0,1,0,0,0,0,1,3,4,0.807,1,0,1,0.4171,Metabolism Molecule,4,1.00E-44,0
>AFE12010.1 ,4,0,1,1,0,0,0,2,1,2,4,0.991,0,0,0,0.3505,Metabolism Molecule,4,2.00E-27,0
>AFE12020.1 ,11,0,0,1,0,0,0,0,1,2,5,0.999,0,0,0,0.373,Cellular process,1,0,1
>AFE12024.1 ,11,0,1,1,0,0,0,0,1,2,6,0.999,0,0,1,0.5664,Metabolism Molecule,4,0,1
>AFE12031.1,11,0,0,1,0,0,0,0,1,2,6,0.999,0,0,0,0.3721,Metabolism Molecule,4,0,0
>AFE12047.1 ,2,0,0,1,0,0,0,0,1,2,4,0.997,0,0,1, F9W301,Metabolism Molecule,4,5.00E-82,0
>AFE12050.1 ,2,0,0,1,0,0,0,0,1,2,3,0.458,2,0,0,0.2993,Cellular process,1,2.00E-17,0
>AFE12054.1 ,3,0,1,1,0,0,0,3,4,1,4,0.528,2,1,1,0.697,Virulence factors,3,2.00E-22,0
>AFE12058.1 ,4,0,1,3,0,0,0,0,1,1,4,0.999,0,1,1,0.3936,Cellular process,1,4.00E-138,0
>AFE12060.1 ,3,1,0,1,0,0,0,1,1,3,4,0.862,1,1,1,1.2847,Information and storage,2,0,1
>AFE12086.1 ,4,0,0,1,0,0,0,0,1,1,2,0.999,0,0,0,0.3473,cellular Process,1,5.00E-60,0
>AFE12090.1 ,2,0,0,1,0,0,0,0,1,2,0,NA,3,0,1,0.5218,Metabolism Molecule,4,7.00E-46,0
>AFE12102.1 ,4,0,1,1,0,0,0,0,1,2,4,0.706,2,0,1,0.5751,Cellular process,1,1.00E-34,0
>AFE12103.1,4,0,0,1,0,0,0,0,1,3,2,0.706,2,0,0,0.3351,Cellular Process,1,2.00E-121,0
>AFE12133.1 ,3,1,0,3,1,1,0,0,4,2,4,0.885,1,1,1,0.5814,Metabolism Molecule,4,2.00E-92,0
>AFE12135.1,3,1,1,2,0,0,0,3,4,2,0,0.885,1,1,1,1.3456,Virulence factors,3,6.00E-72,0
>AFE12137.1,3,1,1,3,1,1,0,1,4,3,4,0.885,1,0,1,1.2396,Virulence Factors,3,5.00E-24,0
>AFE12147.1 ,2,1,0,1,0,0,0,0,4,2,2,0.986,0,0,1,0.4621,Virulence factor,3,0,0
>AFE12167.1 ,12,0,1,3,1,1,0,1,4,1,1,0.828,0,0,1,0.4623,Cellular Process,1,1.00E-38,0
>AFE12172.1 ,3,0,1,3,1,1,0,1,4,2,4,0.763,1,1,1,1.9155,Information and storage,2,5.00E-13,0
>AFE12177.1 ,2,0,0,1,0,0,0,0,1,2,2,0.889,1,0,0,0.199,Cellular Process,1,2.00E-69,0
>AFE12194.1 ,13,0,0,3,0,0,0,1,2,3,5,0.998,0,0,1,0.6098,Cellular Process,1,0,0
>AFE12207.1 ,3,1,1,1,1,1,0,5,2,3,3,0.949,0,0,1,0.6475,Virulence factor,3,2.00E-85,0
>AFE12217.1 ,4,1,1,1,1,1,0,1,4,2,1,0.924,0,0,1,0.5337,Virulence factors,3,0,1
>AFE12220.1 ,1,0,0,5,1,1,0,0,4,1,4,0.991,0,1,1,0.7142,Cellular process,1,0,0
>AFE12232.1,4,1,1,1,1,1,0,0,4,2,3,0.86,1,0,1,0.5782,Metabolism Molecule,4,0,0
>AFE12264.1 ,3,1,1,3,1,1,0,3,4,3,4,0.872,1,0,1,1.6528,Virulence factors,3,5.00E-150,0
>AFE12267.1 ,10,0,0,1,0,0,0,0,1,2,2,0.998,0,0,1,0.4809,Metabolism Molecule,4,0,0
>AFE12268.1 ,3,0,1,1,1,1,0,0,4,2,2,0.787,1,0,1,1.003,Virulence factors,3,0,0
>AFE12269.1 ,14,0,0,1,0,0,0,0,1,2,0,0.998,0,0,1,0.5298,Metabolism Molecule,4,4.00E-82,0
>AFE12280.1 ,4,1,1,1,0,0,0,1,1,2,4,0.978,0,1,1,0.4157,Metabolism Molecule,4,0,0
>AFE12292.1 ,4,1,0,1,0,0,0,1,1,1,1,0.999,0,1,1,0.4794,Metabolism Molecule,4,0,1
>AFE12310.1 ,4,1,1,1,0,0,0,0,1,1,5,0.998,0,1,0,0.3949,Cellular process,1,0,0
>AFE12313.1 ,15,1,1,1,0,0,0,1,1,2,1,0.999,0,0,1,0.4649,Cellular process,1,0,1
>AFE12323.1 ,3,0,1,1,1,1,0,3,4,3,4,0.95,0,1,1,0.4703,Metabolism Molecule,4,0,0
>AFE12353.1 ,3,0,1,3,1,1,0,3,4,2,3,0.869,1,0,1,1.069,Virulence factors,3,3.00E-130,0
>AFE12354.1 ,3,1,1,3,0,0,0,0,1,2,4,0.865,1,0,1,1.9953,Virulence factors,3,0,0
>AFE12365.1 ,4,0,0,7,0,0,0,0,1,2,0,NA,3,0,1,0.5892,Metabolism Molecule,4,5.00E-31,0
>AFE12371.1 ,3,1,1,1,0,0,0,3,4,1,4,0.869,1,0,1,0.9923,Virulence factors,3,0,0
>AFE12375.1 ,4,0,0,3,0,0,0,0,1,1,0,0.958,0,0,0,0.3448,Cellular Process,1,7.00E-158,0
>AFE12376.1 ,4,0,1,3,0,0,0,0,1,1,0,0.958,0,1,1,0.4403,Cellular Process,1,2.00E-105,1
>AFE12377.1 ,3,1,0,3,1,1,0,4,4,3,4,0.658,2,0,1,1.1458,Metabolism Molecule,4,1.00E-165,0
>AFE12385.1 ,4,1,0,7,1,1,0,0,2,2,0,0.865,1,0,1,0.5411,Metabolism Molecule,4,6.00E-133,1
,16,0,0,7,0,0,0,0,1,2,0,0.852,1,0,1,0.6289,Metabolism Molecule,4,0,1
,4,0,0,7,0,0,0,0,1,2,0,NA,3,0,1,0.4263,Metabolism Molecule,4,1.00E-28,0
,4,0,1,1,0,0,0,0,1,2,2,0.854,1,0,0,0.3901,cellular Process,1,1.00E-160,0
,4,1,1,1,0,0,0,0,1,3,2,0.999,0,0,1,0.4617,Virulence factors,3,5.00E-151,0
,4,1,1,5,0,0,0,5,2,2,5,0.999,0,0,1,0.4033,cellular Process,1,9.00E-135,0
,3,0,1,1,0,0,0,0,1,2,4,0.901,0,0,1,0.4113,cellular Process,1,0,0
,6,0,0,3,1,1,0,0,2,1,0,0.846,1,0,1,0.5013,Metabolism Molecule,4,6.00E-05,0
,4,1,1,1,0,0,0,0,1,2,1,0.878,1,0,1,0.42,Virulence factors,3,3.00E-57,0
,2,0,1,1,0,0,0,1,1,3,2,0.872,1,0,0,0.3911,Metabolism Molecule,4,5.00E-16,0
,3,0,1,3,0,0,0,0,4,3,4,0.967,0,1,1,0.5437,cellular Process,1,2.00E-105,1
,3,1,1,1,0,0,0,1,1,2,3,0.967,0,0,1,0.4811,cellular Process,1,1.00E-165,0
,6,0,1,7,0,0,0,0,1,1,3,0.955,0,0,0,0.3809,cellular Process,1,0,1
,6,0,1,1,0,0,0,0,1,1,3,0.955,0,0,1,0.4528,Metabolism Molecule,4,5.00E-56,0
,4,0,0,1,0,0,0,0,4,2,1,0.999,0,0,1,0.4236,cellular Process,1,1.00E-88,0
,3,0,1,3,0,0,0,0,4,3,4,0.538,2,1,1,0.4081,Metabolism Molecule,4,4.00E-53,0
,2,0,0,7,0,0,0,0,1,2,0,0.99,0,0,1,0.4246,cellular Process,1,0,1
,4,1,0,3,0,0,0,1,2,2,1,0.901,0,1,1,0.5877,Metabolism Molecule,4,1.00E-176,1
,17,0,1,1,0,0,0,0,1,3,1,0.817,1,0,1,0.5202,Virulence factors,3,2.00E-66,0
,4,1,1,1,0,0,0,0,1,2,5,0.994,0,0,1,0.4213,cellular Process,1,4.00E-69,0
,4,0,0,3,0,0,0,0,1,4,0,NA,3,1,1,0.5578,Cellular process,1,0,1
,11,1,0,1,0,0,0,0,1,2,5,0.999,0,0,1,0.5627,Cellular process,1,0,0
,4,1,0,3,0,0,0,1,1,2,1,0.78,1,0,1,0.6319,Cellular process,1,2.00E-56,0
,3,1,1,1,0,0,0,1,4,3,4,0.533,2,1,1,0.6218,Virulence factors,3,0,0
,18,0,0,1,0,0,0,0,1,2,3,0.998,0,1,1,0.4533,Metabolism Molecule,4,6.00E-65,0
,2,0,1,1,0,0,0,1,1,2,1,0.826,0,0,1,0.5517,Metabolism Molecule,4,6.00E-58,0
,3,0,1,1,0,0,0,1,1,3,2,0.819,1,1,0,0.3566,Cellular process,1,0,1
,4,1,1,1,0,0,0,0,1,3,1,0.706,1,0,1,0.3351,Cellular process,1,4.00E-66,0
,4,1,1,1,0,0,0,0,1,2,3,0.858,1,0,1,0.5751,Cellular process,1,3.00E-15,0
,3,0,1,3,1,1,0,0,4,1,4,0.996,0,1,1,0.599,Metabolism Molecule,4,0,0
,3,0,0,7,0,0,0,0,1,2,0,0.996,0,0,0,0.2832,Cellular process,1,4.00E-121,0
,4,0,0,1,0,0,0,0,4,2,4,0.999,0,0,1,0.448,Cellular process,1,5.00E-117,0
,3,1,1,3,1,1,0,0,4,2,4,0.755,1,0,1,1.3172,Virulence factors,3,9.00E-35,0
,3,0,1,3,0,0,0,0,4,3,0,0.646,2,1,1,1.5789,Virulence factors,3,7.00E-45,0
,3,0,0,3,0,0,0,3,2,1,0,0.865,1,0,1,1.1307,Virulence factors,3,0,0
,3,0,0,3,0,0,0,0,1,2,0,NA,3,0,1,2.3604,Virulence factors,3,1.00E-74,0
,3,1,1,3,0,0,0,0,4,3,0,0.865,1,0,1,1.0246,Virulence factors,3,1.00E-49,0
,3,0,1,3,0,0,0,1,4,3,0,0.72,1,0,1,1.1053,Virulence factors,3,1.00E-173,0
,2,1,1,1,0,0,0,0,1,2,0,0.681,2,0,1,0.6544,Cellular process,1,0,0
,4,0,0,1,0,0,0,0,1,2,4,0.951,0,0,1,0.4505,Metabolism Molecule,4,0,0
,4,0,0,1,0,0,0,3,2,3,3,0.871,1,0,1,0.4497,Metabolism Molecule,4,4.00E-70,0
,4,1,1,1,0,0,0,0,1,2,0,0.958,0,0,1,0.4923,Virulence factors,3,9.00E-51,0
,4,0,1,1,0,0,0,1,4,2,0,0.967,0,0,1,0.5498,Metabolism Molecule,4,1.00E-14,0
,3,0,0,3,1,1,0,0,4,3,3,0.865,1,0,1,0.6932,Virulence factors,3,3.00E-71,0
,19,0,0,1,1,1,0,0,4,1,0,0.834,1,0,1,0.6378,Metabolism Molecule,4,8.00E-50,0
,20,0,0,1,0,0,0,1,1,2,2,0.716,1,0,1,0.5131,cellular process,1,0,0
,4,0,0,1,0,0,0,0,1,2,2,0.999,0,1,0,0.3467,cellular process,1,2.00E-69,0
,3,0,1,3,0,0,0,0,4,3,4,0.865,1,0,1,0.4286,cellular process,1,0,0
,4,0,0,1,0,0,0,1,1,3,2,0.949,0,0,0,0.3834,Metabolism Molecule,4,9.00E-75,0
,4,0,0,1,0,0,0,0,1,2,4,0.968,0,0,1,0.4501,Metabolism Molecule,4,8.00E-74,0
,2,0,0,7,0,0,0,0,1,2,0,0.932,0,0,1,0.7625,cellular process,1,5.00E-32,0
,4,0,0,1,0,0,0,1,1,2,4,0.993,0,0,1,0.442,Virulence factors,3,2.00E-170,0
,4,0,1,1,0,0,0,1,1,2,0,0.894,1,1,1,0.5179,Virulence factors,3,0,1
,3,0,1,1,0,0,0,8,4,3,3,0.871,1,0,1,0.6436,Virulence factors,3,8.00E-178,1
,4,1,1,1,0,0,0,0,1,3,2,0.706,2,0,0,0.3351,cellular process,1,6.00E-164,0
,4,0,1,1,0,0,0,0,1,2,4,0.706,2,0,1,0.5751,cellular process,1,0,0
,4,0,0,1,0,0,0,0,1,2,4,0.706,2,0,1,0.5751,cellular process,1,4.00E-156,0
,4,0,1,1,0,0,0,0,1,3,3,0.706,2,0,0,0.3351,cellular process,1,2.00E-106,1
,3,0,1,3,1,1,0,18,4,3,4,0.817,1,0,1,1.5944,Information and storage,2,6.00E-26,0
,22,1,1,1,0,0,0,0,1,4,0,0.946,0,0,1,0.4785,Metabolism Molecule,4,0,0
,3,1,0,3,0,0,0,0,4,2,4,0.963,0,1,1,0.6032,cellular process,1,0,1
,3,0,1,1,0,0,0,3,4,3,4,0.963,0,0,1,0.5742,Virulence factors,3,0,0
,3,0,1,3,0,0,0,0,4,2,4,0.872,1,1,1,0.5959,Virulence factors,3,3.00E-31,0
,6,1,1,1,0,0,0,0,1,1,4,0.829,1,0,1,0.5218,cellular process,1,0,1
,3,0,0,3,0,0,0,1,4,3,4,0.670,2,0,1,1.7949,Information and storage,2,8.00E-61,0
,3,1,1,3,0,0,0,2,4,2,4,0.964,0,1,1,0.5197,cellular process,1,0,0
,3,0,0,1,0,0,0,1,1,3,3,0.964,0,0,1,0.5952,Virulence factors,3,0,0
,3,0,0,1,0,0,0,1,4,3,3,0.824,1,0,1,0.498,Virulence factors,3,4.00E-70,0
,3,0,0,3,1,1,0,1,4,3,4,0.829,1,0,1,0.862,Metabolism Molecule,4,4.00E-70,0
,4,0,0,1,0,0,0,1,1,3,4,0.751,1,0,0,0.2849,Metabolism Molecule,4,0,0
,4,1,1,1,0,0,0,0,1,2,4,0.999,0,0,1,0.4028,Information and storage,2,0,0
,4,0,0,1,0,0,0,0,1,2,5,0.999,0,0,1,0.4974,cellular process,1,1.00E-21,0
,4,1,1,1,1,1,0,1,4,1,6,0.996,0,0,1,0.4288,cellular process,1,1.00E-57,0
,6,1,0,3,1,1,0,1,4,1,4,0.949,0,0,1,0.5829,Metabolism Molecule,4,0,0
,14,1,1,1,0,0,0,0,1,2,1,0.925,0,0,1,0.5265,Metabolism Molecule,4,3.00E-57,0
,3,0,1,1,0,0,0,14,4,,3,0.879,1,0,1,0.6864,Information and storage,2,1.00E-60,0
,3,0,1,1,1,1,0,26,4,3,3,0.936,1,0,1,0.5784,Virulence factors,3,0,0
,4,1,1,1,0,0,0,1,1,2,4,0.871,1,0,1,0.5091,Metabolism Molecule,4,1.00E-46,0
,4,1,0,1,0,0,0,0,4,2,2,0.973,0,0,1,0.4071,Metabolism Molecule,4,0,0
,10,1,0,1,1,1,0,1,2,3,2,0.998,0,0,1,0.4376,Cellular process,1,0,0
,4,1,0,3,1,1,0,0,4,1,7,0.918,0,0,1,0.4357,Cellular process,1,6.00E-157,0
,3,0,1,1,0,0,0,0,1,3,0,0.655,2,0,1,0.5241,cellular Process,1,0,1
,4,0,0,1,0,0,0,0,1,1,2,NA,3,1,1,0.5827,cellular Process	,1,2.00E-63,0
,4,0,1,1,0,0,0,2,1,2,2,0.995,0,0,1,0.4689,cellular Process	,1,3.00E-54,0
,2,0,0,1,0,0,0,0,1,2,4,0.996,0,1,0,0.3181,Metabolism Molecule,4,5.00E-139,0
,11,0,0,1,0,0,0,0,1,2,6,0.997,0,0,1,0.4622,cellular Process	,1,0,0
,11,0,1,1,0,0,0,0,1,2,3,0.997,0,0,0,0.3665,cellular Process,1,8.00E-102,0
,2,1,1,1,0,0,0,1,4,2,6,0.937,0,0,1,0.4283,cellular Process	,1,0,0
,3,1,1,3,1,1,0,1,1,2,4,0.882,1,0,1,1.5782,Information and storage,2,0,0
,4,0,1,1,0,0,0,0,1,2,2,0.998,0,0,1,0.4442,Metabolism Molecule,4,0,1
,4,1,1,1,0,0,0,0,1,2,4,0.858,1,0,1,0.5751,Cellular process,1,7.00E-135,1
,4,1,1,1,0,0,0,0,1,3,2,0.706,2,0,0,0.3351,Cellular process,1,0,0
,3,1,1,1,0,0,0,0,4,2,4,0.799,1,0,1,0.4367,cellular Process,1,9.00E-153,1
,4,0,1,1,0,0,0,0,1,2,3,0.999,0,0,1,0.7805,cellular Process	,1,2.00E-39,0
,3,1,1,3,0,0,0,0,1,2,0,0.764,1,0,1,2.0553,Virulence factors,3,3.00E-36,0
,3,0,0,1,0,0,0,0,4,2,4,0.658,2,0,1,0.4662,Metabolism Molecule,4,1.00E-141,0
,3,0,1,3,0,0,0,2,4,3,4,0.882,1,0,1,1.2556,Virulence factors	,3,4.00E-51,0
,4,0,1,1,0,0,0,0,1,3,2,0.706,2,0,0,0.3351,cellular Process,1,4.00E-55,0
,4,0,0,1,0,0,0,0,1,2,4,0.858,1,0,1,0.5751,cellular Process	,1,4.00E-63,0
,21,0,1,1,0,0,0,0,4,1,1,0.757,1,0,1,0.48,cellular Process	,1,4.00E-127,0
,8,0,1,5,0,0,0,1,1,2,1,0.753,1,1,0,0.352,cellular Process,1,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Motif Score,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,
,,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,
